Setpoint,PID_Output,Planta_Output
48.00,-0.37,50.71
48.00,-0.37,50.70
48.00,-0.34,50.68
48.00,-0.34,50.66
48.00,-0.37,50.66
48.00,-0.37,50.65
48.00,-0.34,50.63
48.00,-0.34,50.61
48.00,-0.34,50.60
48.00,-0.34,50.60
48.00,-0.36,50.58
48.00,-0.36,50.56
48.00,-0.34,50.54
48.00,-0.34,50.53
48.00,-0.33,50.51
48.00,-0.33,50.51
48.00,-0.36,50.50
48.00,-0.36,50.48
48.00,-0.33,50.46
48.00,-0.33,50.45
48.00,-0.35,50.45
48.00,-0.35,50.43
48.00,-0.33,50.41
48.00,-0.33,50.40
48.00,-0.32,50.38
48.00,-0.32,50.36
48.00,-0.34,50.36
48.00,-0.34,50.35
48.00,-0.32,50.33
48.00,-0.32,50.31
48.00,-0.31,50.30
48.00,-0.31,50.30
48.00,-0.33,50.28
48.00,-0.33,50.26
48.00,-0.30,50.25
48.00,-0.30,50.23
48.00,-0.33,50.23
48.00,-0.33,50.22
48.00,-0.30,50.20
48.00,-0.30,50.18
48.00,-0.29,50.17
48.00,-0.29,50.15
48.00,-0.31,50.15
48.00,-0.31,50.14
48.00,-0.28,50.12
48.00,-0.28,50.10
48.00,-0.27,50.09
48.00,-0.27,50.09
48.00,-0.30,50.07
48.00,-0.30,50.06
48.00,-0.27,50.04
48.00,-0.27,50.03
48.00,-0.26,50.01
48.00,-0.26,50.01
48.00,-0.28,49.99
48.00,-0.28,49.98
48.00,-0.25,49.96
48.00,-0.25,49.95
48.00,-0.27,49.95
48.00,-0.27,49.93
48.00,-0.24,49.92
48.00,-0.24,49.90
48.00,-0.23,49.89
48.00,-0.23,49.89
48.00,-0.25,49.87
48.00,-0.25,49.86
48.00,-0.22,49.84
48.00,-0.22,49.83
48.00,-0.21,49.81
48.00,-0.21,49.81
48.00,-0.23,49.80
48.00,-0.23,49.78
48.00,-0.20,49.77
48.00,-0.20,49.75
48.00,-0.22,49.75
48.00,-0.22,49.74
48.00,-0.19,49.72
48.00,-0.19,49.71
48.00,-0.18,49.69
48.00,-0.18,49.68
48.00,-0.20,49.68
48.00,-0.20,49.66
48.00,-0.17,49.65
48.00,-0.17,49.64
48.00,-0.16,49.62
48.00,-0.16,49.62
48.00,-0.18,49.61
48.00,-0.18,49.59
48.00,-0.15,49.58
48.00,-0.15,49.56
48.00,-0.17,49.56
48.00,-0.17,49.55
48.00,-0.14,49.54
